sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
13,27,987.5423329408402,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,28,819.7664704342394,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,29,692.9763053843158,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,30,599.5982169882363,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,31,533.784791478503,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,32,491.14072057485185,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,33,469.3417436493328,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,34,468.56102652910954,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,35,490.9929194400227,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,36,542.351505261227,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,37,633.882244109497,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,38,780.2692928419336,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,39,992.1417966884469,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,40,1302.5424993965614,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,41,1764.910523474023,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,42,2465.2141718644507,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,43,3543.9825840118474,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,44,5232.6061796457225,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,45,7913.322402449569,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,46,12215.634403267419,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,47,19162.984711632533,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,48,30371.75581359161,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,49,48252.994436546345,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,50,76020.46538011818,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,51,117008.52133652987,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,52,172483.19513709663,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,1,237611.73734311608,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,2,298038.57608402363,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,3,333316.6676538835,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,4,329548.1744694086,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,5,290246.3397938374,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,6,232586.72083804905,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,7,174380.45079346298,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,8,125804.76441787201,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,9,89469.87403627895,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,10,63906.36269313578,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,11,46448.8589347315,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,12,34631.39153932968,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,13,26590.519948147426,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,14,21040.224815291585,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,15,17129.767001090462,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,16,14305.703104180982,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,17,12208.948974560257,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,18,10605.564476949412,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,19,9342.312620841869,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
13,20,8318.576487470227,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
